Latitude,Longitude,N_850,Nol_850,Ce_850,R2_850,QA_850
-38.5,-60.5,67,0,0.00789,0.164,2
-38.5,-59.5,38,0,0.00248,0.241,2
-38.5,-58.5,22,0,0.00368,0.577,2
-38.5,-57.5,54,1,0.00283,0.115,0
-38.5,140.5,0,0,0.00698,-9999,0
-38.5,141.5,39,0,0.00197,0.172,0
-38.5,142.5,6,0,0.00892,0.84,2
-38.5,143.5,19,0,0.00691,0.593,2
-38.5,144.5,49,1,0.000633,0.0365,0
-38.5,145.5,12,1,0.00317,0.318,2
-38.5,146.5,24,0,0.00152,0.209,1
-38.5,147.5,42,0,0.0136,0.28,0
-38.5,174.5,0,0,0.0112,-9999,0
-38.5,175.5,7,0,0.00512,0.416,1
-38.5,176.5,8,0,0.000253,0.0597,1
-38.5,177.5,15,2,0.00605,0.363,0
-38.5,178.5,0,0,0.00691,-9999,0
-37.5,-73.5,284,0,0.00297,0.224,0
-37.5,-72.5,36,1,0.018,0.532,3
-37.5,-71.5,13,0,0.0107,0.452,3
-37.5,-70.5,7,0,0.00801,0.969,2
-37.5,-69.5,0,0,0.0104,-9999,0
-37.5,-68.5,11,0,0.00544,0.449,2
-37.5,-67.5,31,0,0.0116,0.421,1
-37.5,-66.5,12,2,0.00154,0.241,2
-37.5,-65.5,29,1,0.00327,0.556,2
-37.5,-64.5,9,0,0.00157,0.255,3
-37.5,-63.5,32,0,0.00924,0.402,2
-37.5,-62.5,23,0,0.00232,0.186,2
-37.5,-61.5,45,0,0.0122,0.288,2
-37.5,-60.5,33,0,0.00928,0.216,1
-37.5,-59.5,92,1,0.00282,0.132,2
-37.5,-58.5,7,0,0.022,0.906,4
-37.5,-57.5,20,1,0.0191,0.899,1
-37.5,-56.5,0,0,0.0254,-9999,0
-37.5,139.5,7,0,0.032,0.393,0
-37.5,140.5,16,1,0.00458,0.643,2
-37.5,141.5,25,0,0.00298,0.307,2
-37.5,142.5,13,0,0.0168,0.719,4
-37.5,143.5,46,0,0.00474,0.83,2
-37.5,144.5,14,0,0.00838,0.356,3
-37.5,145.5,82,1,0.00432,0.406,1
-37.5,146.5,34,0,0.0107,0.227,1
-37.5,147.5,16,0,0.00992,0.417,3
-37.5,148.5,14,0,0.00435,0.398,3
-37.5,149.5,27,0,0.00398,0.28,2
-37.5,150.5,0,0,0.0224,-9999,0
-37.5,174.5,119,0,0.0235,0.237,0
-37.5,175.5,12,0,0.0154,0.146,0
-37.5,176.5,7,0,0.00354,0.12,0
-37.5,177.5,0,0,0.0107,-9999,0
-37.5,178.5,0,0,0.00994,-9999,0
-36.5,-73.5,65,0,0.029,0.782,0
-36.5,-72.5,29,0,0.00331,0.268,3
-36.5,-71.5,105,0,0.00353,0.328,2
-36.5,-70.5,0,0,0.0117,-9999,0
-36.5,-69.5,0,0,0.0108,-9999,0
-36.5,-68.5,16,0,0.000441,0.101,0
-36.5,-67.5,32,0,0.00159,0.192,0
-36.5,-66.5,8,0,0.00341,0.687,3
-36.5,-65.5,10,0,0.00399,0.525,3
-36.5,-64.5,7,0,0.00506,0.487,3
-36.5,-63.5,62,0,0.00423,0.332,2
-36.5,-62.5,59,0,0.00455,0.477,2
-36.5,-61.5,7,0,0.0188,0.455,3
-36.5,-60.5,9,0,0.0288,0.321,3
-36.5,-59.5,9,1,0.0515,0.826,4
-36.5,-58.5,19,1,0.00272,0.345,2
-36.5,-57.5,8,0,0.0193,0.25,3
-36.5,-56.5,14,0,0.011,0.19,2
-36.5,139.5,15,0,0.00423,0.507,0
-36.5,140.5,8,0,0.00115,0.186,2
-36.5,141.5,21,0,0.00172,0.217,2
-36.5,142.5,12,1,0.00735,0.701,1
-36.5,143.5,10,2,0.00725,0.633,2
-36.5,144.5,29,0,0.00633,0.61,2
-36.5,145.5,12,0,0.0248,0.984,4
-36.5,146.5,34,1,0.0192,0.696,2
-36.5,147.5,20,1,0.0952,0.947,4
-36.5,148.5,37,0,0.00887,0.977,1
-36.5,149.5,19,0,0.0238,0.674,3
-36.5,150.5,34,0,0.0104,0.409,0
-36.5,173.5,0,0,0.0118,-9999,0
-36.5,174.5,24,0,0.0411,0.259,0
-36.5,175.5,0,0,0.0138,-9999,0
-35.5,-72.5,9,0,0.00561,0.805,4
-35.5,-71.5,28,0,0.0219,0.829,4
-35.5,-70.5,0,0,0.0117,-9999,0
-35.5,-69.5,0,0,0.0124,-9999,0
-35.5,-68.5,8,1,0.0139,0.715,1
-35.5,-67.5,30,0,0.0115,0.193,2
-35.5,-66.5,8,0,0.00602,0.83,4
-35.5,-65.5,24,0,0.00482,0.441,3
-35.5,-64.5,58,2,0.00549,0.283,2
-35.5,-63.5,6,0,0.0417,0.486,3
-35.5,-62.5,51,1,0.00661,0.144,2
-35.5,-61.5,7,1,0.0216,0.864,4
-35.5,-60.5,6,0,0.0228,0.579,3
-35.5,-59.5,73,0,0.0063,0.116,2
-35.5,-58.5,59,0,0.00328,0.063,2
-35.5,-57.5,12,0,0.0344,0.599,2
-35.5,116.5,9,0,0.00371,0.0193,0
-35.5,117.5,11,0,0.00209,0.422,0
-35.5,136.5,24,0,0.00101,0.237,0
-35.5,137.5,6,0,0.0041,0.521,1
-35.5,138.5,35,0,0.00706,0.0741,0
-35.5,139.5,69,1,0.00433,0.263,0
-35.5,140.5,64,2,0.00165,0.274,0
-35.5,141.5,8,0,0.00179,0.459,1
-35.5,142.5,39,0,0.00571,0.286,0
-35.5,143.5,9,0,0.00272,0.357,2
-35.5,144.5,20,0,0.00327,0.479,2
-35.5,145.5,33,1,0.00663,0.758,2
-35.5,146.5,7,0,0.00962,0.536,3
-35.5,147.5,38,0,0.00611,0.667,2
-35.5,148.5,19,0,0.0205,0.828,4
-35.5,149.5,12,1,0.027,0.882,4
-35.5,150.5,8,0,0.0283,0.816,4
-35.5,173.5,12,0,0.0271,0.377,0
-35.5,174.5,6,0,0.0115,0.789,0
-34.5,-72.5,28,0,0.000452,0.031,0
-34.5,-71.5,41,0,0.0052,0.497,3
-34.5,-69.5,0,0,0.0114,-9999,0
-34.5,-68.5,28,0,0.0114,0.37,3
-34.5,-67.5,120,0,0.00309,0.633,1
-34.5,-66.5,16,1,0.00846,0.561,3
-34.5,-65.5,124,0,0.00195,0.193,2
-34.5,-64.5,7,0,0.0147,0.633,3
-34.5,-63.5,7,0,0.00463,0.188,3
-34.5,-62.5,8,0,0.0119,0.829,4
-34.5,-61.5,6,0,0.0193,0.513,3
-34.5,-60.5,8,0,0.0472,0.487,3
-34.5,-59.5,6,2,0.0153,0.429,3
-34.5,-58.5,26,0,0.00645,0.456,3
-34.5,-57.5,21,0,0.0049,0.612,2
-34.5,-56.5,70,0,0.00863,0.11,2
-34.5,-55.5,53,0,0.00355,0.0966,2
-34.5,-54.5,33,1,0.00277,0.106,2
-34.5,-53.5,21,0,0.00667,0.263,0
-34.5,18.5,124,1,0.00303,0.0953,0
-34.5,19.5,9,0,0.00687,0.839,4
-34.5,20.5,30,0,0.0107,0.405,2
-34.5,21.5,47,0,0.0083,0.581,1
-34.5,22.5,54,0,0.0127,0.125,0
-34.5,23.5,22,0,0.00387,0.0972,0
-34.5,24.5,12,0,0.00539,0.707,2
-34.5,25.5,25,0,0.00908,0.307,0
-34.5,115.5,63,0,0.00206,0.323,1
-34.5,116.5,65,0,0.00613,0.407,3
-34.5,117.5,14,0,0.0117,0.846,4
-34.5,118.5,6,1,0.0066,0.861,4
-34.5,119.5,29,0,0.00244,0.504,0
-34.5,134.5,0,0,0.0216,-9999,0
-34.5,135.5,6,1,0.00969,0.646,2
-34.5,136.5,8,0,0.0041,0.128,0
-34.5,137.5,189,0,0.00575,0.366,0
-34.5,138.5,17,1,0.00579,0.459,1
-34.5,139.5,33,0,0.00415,0.132,0
-34.5,140.5,62,0,0.0018,0.0898,0
-34.5,141.5,68,0,0.00133,0.489,0
-34.5,142.5,120,1,0.00185,0.119,0
-34.5,143.5,69,1,0.00595,0.217,0
-34.5,144.5,26,0,0.00665,0.317,0
-34.5,145.5,11,1,0.0012,0.373,2
